,personUri,personLabel,birthYear,gender,countries,continents,occupations
0,http://www.wikidata.org/entity/Q7151785,Paul King,1984,male,United States,North America,"chief executive officer, entrepreneur"
1,http://www.wikidata.org/entity/Q562917,Steve Case,1958,male,United States,North America,"chief executive officer, businessperson"
2,http://www.wikidata.org/entity/Q12316216,Henning Axel Nielsen,1938,male,Kingdom of Denmark,Europe,"chief executive officer, businessperson"
3,http://www.wikidata.org/entity/Q17052234,Stephen Siegel,1944,male,United States,North America,chief executive officer
4,http://www.wikidata.org/entity/Q2898568,Bernard Sabrier,1953,male,Morocco,Africa,"chief executive officer, businessperson"
5,http://www.wikidata.org/entity/Q125501035,Christophe Pinard-Legry,1971,male,France,Europe,"businessperson, television personality, chief executive officer"
6,http://www.wikidata.org/entity/Q131461885,Jean-Guillaume Kleis,1988,male,France,Europe,"businessperson, chief executive officer, entrepreneur"
7,http://www.wikidata.org/entity/Q80283757,Anne Lawaetz Arhnung,1969,female,Kingdom of Denmark,Europe,chief executive officer
8,http://www.wikidata.org/entity/Q106608388,Kim Noguera Gabrielli,1980,male,Norway,Europe,chief executive officer
9,http://www.wikidata.org/entity/Q111623393,V.D. Mehta,1938,male,India,Asia,"researcher, chief executive officer"
10,http://www.wikidata.org/entity/Q106765842,Furkan Contar,1995,male,Turkey,Asia,"chief executive officer, computer scientist"
11,http://www.wikidata.org/entity/Q19849759,Shimmie Horn,1973,male,United States,North America,chief executive officer
12,http://www.wikidata.org/entity/Q4911038,Bill Stromberg,1960,male,United States,North America,chief executive officer
13,http://www.wikidata.org/entity/Q99524,Hans-Paul Bürkner,1952,male,Germany,Europe,chief executive officer
14,http://www.wikidata.org/entity/Q24850587,Tamar Yassur,1965,female,Israel,Asia,"manager, chief executive officer"
15,http://www.wikidata.org/entity/Q2966211,Christophe Ducasse,1956,male,France,Europe,"television personality, director, chief executive officer, businessperson"
16,http://www.wikidata.org/entity/Q4055319,Hamid Awaludin,1962,male,Indonesia,Asia,"chief executive officer, diplomat"
17,http://www.wikidata.org/entity/Q7062442,Galia Albin,1949,female,Israel,Asia,"manager, journalist, television presenter, chief executive officer, businessperson, writer, actor"
18,http://www.wikidata.org/entity/Q12410246,Uziel Wechsler,1938,male,Israel,Asia,"manager, chief executive officer"
19,http://www.wikidata.org/entity/Q15994528,Jackie Hunter,1956,female,United Kingdom,Europe,chief executive officer
20,http://www.wikidata.org/entity/Q6928735,Yizhar Hess,1967,male,"Israel, United States","Asia, North America","manager, journalist, chief executive officer"
21,http://www.wikidata.org/entity/Q15042554,Andrew Mackenzie,1956,male,United Kingdom,Europe,"geologist, chief executive officer, entrepreneur"
22,http://www.wikidata.org/entity/Q2906348,Uri Sagi,1943,male,Israel,Asia,"chief executive officer, military officer"
23,http://www.wikidata.org/entity/Q16649181,Reinhold Enqvist,1881,male,Finland,Europe,"business executive, chief executive officer"
24,http://www.wikidata.org/entity/Q16195575,Muzzammil Hassan,1964,male,United States,North America,"banker, chief executive officer"
25,http://www.wikidata.org/entity/Q16841062,Angela Kerins,1958,female,Ireland,Europe,chief executive officer
26,http://www.wikidata.org/entity/Q100249967,Ahmed Yussif Abubakari,1947,male,Ghana,Africa,"chief executive officer, politician"
27,http://www.wikidata.org/entity/Q64861947,Luzia do Carmo Kapp da Silva,1961,female,Brazil,South America,chief executive officer
28,http://www.wikidata.org/entity/Q131986203,Q131986203,1961,male,Kingdom of the Netherlands,Europe,chief executive officer
29,http://www.wikidata.org/entity/Q19371960,Bernhard Paus,1909,male,Norway,Europe,chief executive officer
30,http://www.wikidata.org/entity/Q65031068,Olivier Richters,1989,male,Kingdom of the Netherlands,Europe,"model, chief executive officer, actor"
31,http://www.wikidata.org/entity/Q68935345,Alhassan Andani,1960,male,Ghana,Africa,chief executive officer
32,http://www.wikidata.org/entity/Q17383035,Ossian Procopé,1871,male,Finland,Europe,chief executive officer
33,http://www.wikidata.org/entity/Q3376367,Pete Cashmore,1985,male,United Kingdom,Europe,"blogger, chief executive officer, businessperson"
34,http://www.wikidata.org/entity/Q1282308,Ed Colligan,1961,male,United States,North America,"chief executive officer, businessperson"
35,http://www.wikidata.org/entity/Q7287007,Ralf Speth,1955,male,Germany,Europe,"chief executive officer, entrepreneur"
36,http://www.wikidata.org/entity/Q12326665,Merete Eldrup,1963,female,Kingdom of Denmark,Europe,"board member, chief executive officer"
37,http://www.wikidata.org/entity/Q21001007,Jan Farrell,1983,male,"Spain, United Kingdom, Czech Republic",Europe,"athlete, chief executive officer"
38,http://www.wikidata.org/entity/Q36804,Eazy-E,1964,male,United States,North America,"chief executive officer, record producer, entrepreneur"
39,http://www.wikidata.org/entity/Q64996103,Ricardo Tavera,1985,male,Mexico,North America,"musician, pianist, chief executive officer, record producer, singer, entrepreneur, teacher, composer, writer, actor"
40,http://www.wikidata.org/entity/Q94413,Boris Nemšić,1957,male,Austria,Europe,chief executive officer
41,http://www.wikidata.org/entity/Q5606542,Gregg Hammann,1963,male,United States,North America,chief executive officer
42,http://www.wikidata.org/entity/Q110891861,Milagros Nuin Monreal,1970,female,Spain,Europe,chief executive officer
43,http://www.wikidata.org/entity/Q4893646,Barry Sherman,1942,male,Canada,North America,"chief executive officer, businessperson"
44,http://www.wikidata.org/entity/Q4581125,Jens Petter Ekornes,1942,male,Norway,Europe,"chief executive officer, entrepreneur, politician"
45,http://www.wikidata.org/entity/Q114289706,Keren Cohen Khazon,1969,female,Israel,Asia,"industrialist, chief executive officer"
46,http://www.wikidata.org/entity/Q106648106,Joseph Aliganyira,1986,male,Uganda,Africa,"businessperson, chief executive officer, merchant, computer scientist"
47,http://www.wikidata.org/entity/Q97208892,Irfan Setiaputra,1964,male,Indonesia,Asia,"director, chief executive officer"
48,http://www.wikidata.org/entity/Q2906672,Nehama Ronen,1961,female,Israel,Asia,"manager, chief executive officer, politician"
49,http://www.wikidata.org/entity/Q95986889,Mark Patricof,1964,male,United States,North America,"businessperson, founder, investor, chief executive officer, entrepreneur"
50,http://www.wikidata.org/entity/Q6902255,Amos Shapira,1949,male,Israel,Asia,"manager, chief executive officer"
51,http://www.wikidata.org/entity/Q490938,Yang Hyun-suk,1969,male,South Korea,Asia,"chief executive officer, record producer, singer, composer"
52,http://www.wikidata.org/entity/Q104417656,Emmanuel Levacher,1962,male,France,Europe,"businessperson, chief executive officer"
53,http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,male,Russia,Europe,"non-fiction writer, chief executive officer, statesperson, politician, engineer"
54,http://www.wikidata.org/entity/Q49493702,Zari Hassan,1980,female,Uganda,Africa,"chief executive officer, businessperson"
55,http://www.wikidata.org/entity/Q6107794,JB Carlson,1974,male,United States,North America,chief executive officer
56,http://www.wikidata.org/entity/Q6397660,Kevin Tsujihara,1964,male,United States,North America,"chief executive officer, entrepreneur, businessperson"
57,http://www.wikidata.org/entity/Q131019490,Gabriel Bulgaru,1973,male,Romania,Europe,chief executive officer
58,http://www.wikidata.org/entity/Q12144980,Q12144980,1968,male,Soviet Union,"Europe, Asia","chief executive officer, civil servant, minister"
59,http://www.wikidata.org/entity/Q117835045,Phil Southerland,1982,male,United States,North America,chief executive officer
60,http://www.wikidata.org/entity/Q12404286,Ernest Yeffet,1921,male,Israel,Asia,"director, banker, chief executive officer"
61,http://www.wikidata.org/entity/Q3434635,Robert Bouvard,1901,male,France,Europe,"chief executive officer, entrepreneur, politician, businessperson"
62,http://www.wikidata.org/entity/Q17198368,Emma Mulqueeny,1971,female,United Kingdom,Europe,chief executive officer
63,http://www.wikidata.org/entity/Q1368405,Jeff Merkley,1956,male,United States,North America,"chief executive officer, politician"
64,http://www.wikidata.org/entity/Q28233429,Nemkumar Banthia,1959,male,Canada,North America,"university teacher, chief executive officer"
65,http://www.wikidata.org/entity/Q94297565,Saeed Salafzoon,1991,male,Iran,Asia,chief executive officer
66,http://www.wikidata.org/entity/Q107393875,Peter Scott,1941,male,New Zealand,Oceania,chief executive officer
67,http://www.wikidata.org/entity/Q109631308,Emmanuelle Mourey,1969,female,France,Europe,"businessperson, chief executive officer"
68,http://www.wikidata.org/entity/Q16955970,Carolyn Rafaelian,1966,female,United States,North America,"chief executive officer, entrepreneur, businessperson"
69,http://www.wikidata.org/entity/Q120451051,Kit Crawford,1929,female,New Zealand,Oceania,chief executive officer
70,http://www.wikidata.org/entity/Q130321615,Jeya Wilson,1951,female,New Zealand,Oceania,"political activist, chief executive officer"
71,http://www.wikidata.org/entity/Q3318591,Mohamed Horani,1953,male,Morocco,Africa,"chief executive officer, engineer"
72,http://www.wikidata.org/entity/Q7006635,Q7006635,1915,male,Israel,Asia,"manager, chief executive officer"
73,http://www.wikidata.org/entity/Q61278108,Sean Collins,1968,male,United Kingdom,Europe,chief executive officer
74,http://www.wikidata.org/entity/Q37828815,Thomas L. Andresen,1972,male,Kingdom of Denmark,Europe,"researcher, chief executive officer, entrepreneur, professor"
75,http://www.wikidata.org/entity/Q8005574,"William Black, Baron Black",1893,male,"United Kingdom, United Kingdom of Great Britain and Ireland",Europe,"chief executive officer, entrepreneur, politician, engineer"
76,http://www.wikidata.org/entity/Q107986135,Uwe Hochgeschurtz,1963,male,Germany,Europe,chief executive officer
77,http://www.wikidata.org/entity/Q4223722,Valentin Klimov,1939,male,"Soviet Union, Russia","Europe, Asia","university teacher, chief executive officer, inventor, scientist"
78,http://www.wikidata.org/entity/Q133821221,Rydrea Walker,1995,male,United States,North America,chief executive officer
79,http://www.wikidata.org/entity/Q19873335,Bernard Tyson,1959,male,United States,North America,"chief executive officer, businessperson"
80,http://www.wikidata.org/entity/Q114569957,Eli Pollak,1974,male,Israel,Asia,chief executive officer
81,http://www.wikidata.org/entity/Q82568880,Jennie Daly,1970,male,United Kingdom,Europe,chief executive officer
82,http://www.wikidata.org/entity/Q16131124,Ilan Biran,1946,male,Israel,Asia,"manager, chief executive officer, military officer"
83,http://www.wikidata.org/entity/Q6025688,Klas Olofsson,1943,male,Sweden,Europe,chief executive officer
84,http://www.wikidata.org/entity/Q64153792,Gabriel Weinberg,1979,male,United States,North America,"manager, chief executive officer, author, entrepreneur, computer scientist"
85,http://www.wikidata.org/entity/Q6321951,William Campbell,1940,male,United States,North America,"manager, chief executive officer, entrepreneur, computer scientist, businessperson"
86,http://www.wikidata.org/entity/Q126734695,Geneviève Lauzon,1977,female,Canada,North America,chief executive officer
87,http://www.wikidata.org/entity/Q123312801,Guy Lescoeur,1946,male,France,Europe,"businessperson, chief executive officer, entrepreneur"
88,http://www.wikidata.org/entity/Q12231180,Fahd Al-Rasheed,1977,male,Saudi Arabia,Asia,"chief executive officer, economist"
89,http://www.wikidata.org/entity/Q106493933,Liisa Suvikumpu,1975,female,Finland,Europe,"researcher, chief executive officer, historian"
90,http://www.wikidata.org/entity/Q12613095,Hae-Jin Lee,1967,male,South Korea,Asia,chief executive officer
91,http://www.wikidata.org/entity/Q54644663,Sataporn Panichraksapong,1967,male,Thailand,Asia,chief executive officer
92,http://www.wikidata.org/entity/Q10405160,Algot Johansson,1886,male,Sweden,Europe,chief executive officer
93,http://www.wikidata.org/entity/Q7324637,Richard Carrión,1952,male,United States,North America,"banker, chief executive officer"
94,http://www.wikidata.org/entity/Q87183479,Massimo Simonini,1963,male,Italy,Europe,"businessperson, chief executive officer"
95,http://www.wikidata.org/entity/Q50389751,Liisa Leino,1960,female,Finland,Europe,"business executive, chief executive officer, entrepreneur"
96,http://www.wikidata.org/entity/Q3766982,Giovanni Castellucci,1959,male,Italy,Europe,chief executive officer
