uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q100158636,Amanda Pritchard,1976,education,http://www.wikidata.org/entity/Q34433,University of Oxford,6,educational organization | public university | exempt charity | collegiate university | organization | higher education institution,1961-1980
http://www.wikidata.org/entity/Q100158636,Amanda Pritchard,1976,education,http://www.wikidata.org/entity/Q5316528,Durham Johnston Comprehensive School,2,secondary school | community school,1961-1980
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q41506,Stanford University,4,research university | private university | private not-for-profit educational institution | open-access publisher,1981-2000
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q4817274,Atomic Energy Central School,1,school,1981-2000
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q1661242,Indian Institute of Technology Bombay,1,institute of technology,1981-2000
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q3578313,École polytechnique universitaire de Montpellier,2,engineering college | grande école,1981-2000
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q2994588,Toulouse Regional Conservatory,5,former hospital | drama school | educational institution | conservatories with regional coverage | school building,1981-2000
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q916444,Cours Florent,2,drama school | educational institution,1981-2000
http://www.wikidata.org/entity/Q100989426,Thomas Schäfer,1970,education,http://www.wikidata.org/entity/Q317070,University of Mannheim,2,organization | public university,1961-1980
http://www.wikidata.org/entity/Q100997694,Jean-Luc Chetrit,1965,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q100997694,Jean-Luc Chetrit,1965,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q101112672,Markus Krah,1968,education,http://www.wikidata.org/entity/Q1688743,Jewish Theological Seminary of America,2,Jewish seminary | private not-for-profit educational institution,1961-1980
http://www.wikidata.org/entity/Q101112672,Markus Krah,1968,education,http://www.wikidata.org/entity/Q168000,American University,3,private not-for-profit educational institution | research university | private university,1961-1980
http://www.wikidata.org/entity/Q101112672,Markus Krah,1968,education,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,4,University of Excellence | public research university | comprehensive university | public university,1961-1980
http://www.wikidata.org/entity/Q101252390,Yann Bucaille-Lanrezac,1969,education,http://www.wikidata.org/entity/Q3268926,Lycée Saint-Louis-de-Gonzague,1,educational facility,1961-1980
http://www.wikidata.org/entity/Q101252390,Yann Bucaille-Lanrezac,1969,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q101252390,Yann Bucaille-Lanrezac,1969,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q101516834,Anna Ungár,1981,education,http://www.wikidata.org/entity/Q255285,Pázmány Péter Catholic University,2,Catholic university | open-access publisher,1981-2000
