uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q100158636,Amanda Pritchard,1976,education,http://www.wikidata.org/entity/Q34433,University of Oxford,6,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,1971-2000,"['collegiate university', 'educational organization', 'exempt charity', 'higher education institution', 'organization', 'public university']"
http://www.wikidata.org/entity/Q100158636,Amanda Pritchard,1976,education,http://www.wikidata.org/entity/Q5316528,Durham Johnston Comprehensive School,2,community school | secondary school,1971-2000,"['community school', 'secondary school']"
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q41506,Stanford University,4,open-access publisher | private not-for-profit educational institution | private university | research university,1971-2000,"['open-access publisher', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q4817274,Atomic Energy Central School,1,school,1971-2000,['school']
http://www.wikidata.org/entity/Q100276124,Parag Agrawal,1984,education,http://www.wikidata.org/entity/Q1661242,Indian Institute of Technology Bombay,1,institute of technology,1971-2000,['institute of technology']
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q3578313,École polytechnique universitaire de Montpellier,2,engineering college | grande école,1971-2000,"['engineering college', 'grande école']"
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q2994588,Toulouse Regional Conservatory,5,conservatories with regional coverage | drama school | educational institution | former hospital | school building,1971-2000,"['conservatories with regional coverage', 'drama school', 'educational institution', 'former hospital', 'school building']"
http://www.wikidata.org/entity/Q100705519,Ponce,1991,education,http://www.wikidata.org/entity/Q916444,Cours Florent,2,drama school | educational institution,1971-2000,"['drama school', 'educational institution']"
http://www.wikidata.org/entity/Q100989426,Thomas Schäfer,1970,education,http://www.wikidata.org/entity/Q317070,University of Mannheim,2,organization | public university,1941-1970,"['organization', 'public university']"
http://www.wikidata.org/entity/Q100997694,Jean-Luc Chetrit,1965,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1941-1970,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q100997694,Jean-Luc Chetrit,1965,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1941-1970,['grande école']
