,orgType_group,effectif
0,grande école,201
1,alumni association | organization,182
2,business school,175
3,high school,125
4,university,125
5,geographic location | university,80
6,public university,72
7,colonial colleges | private not-for-profit educational institution | private university | research university,71
8,open-access publisher | ottoman association | university,68
9,school,61
10,open-access publisher | private not-for-profit educational institution | private university | research university,56
11,open-access publisher | public university,54
12,business school | organization,49
13,public research university,48
14,private not-for-profit educational institution | university,48
15,public educational institution of the united states | public research university,45
16,university in france,40
17,organization,39
18,publishing company | university,35
19,college,31
20,land-grant university | public educational institution of the united states | public research university,30
21,academic publisher | public research university,30
22,public educational institution of the united states | university,26
23,open-access publisher | university,24
24,organization | public university,23
25,private not-for-profit educational institution | private university | research university,22
26,private not-for-profit educational institution | private university,21
27,business school | private university,21
28,engineering college,21
29,secondary school,21
30,law school,20
31,academic publisher | grand établissement | grande école | organization | public university,19
32,educational organization | higher education institution | public research university,19
33,open-access publisher | private not-for-profit educational institution | university,18
34,educational facility,18
35,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,18
36,open-access publisher | organization | public university,18
37,institute of technology,17
38,organization | public research university,17
39,gymnasium,16
40,academic institution,16
41,colonial colleges | organization | private not-for-profit educational institution | private university | research university,16
42,educational institution,16
43,academic publisher | learned society | nonprofit organization,16
44,academic publisher | colonial colleges | private not-for-profit educational institution | private university | production company | research university,16
45,academic publisher | institute of technology | institute of technology | private not-for-profit educational institution | space grant institution | university,16
46,high school | public school,16
47,business school | educational organization | higher education institution,15
48,swedish government agency | university,14
49,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,14
50,higher education institution,14
51,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,14
52,land-grant university | public educational institution of the united states | public research university | united nations depository library,14
53,college of the university of cambridge | university building,13
54,organization | public educational institution of the united states | public research university | university | university campus,13
55,engineering college | grande école,13
56,business school | graduate school | organization,13
57,faculty,13
58,business school | publishing company,12
59,business school | faculty | publishing company,12
60,private university,12
61,organization | swedish government agency | university,11
62,educational organization | higher education institution | open-access publisher | university,11
63,public educational institution of the united states | public university | research university,11
64,educational organization | higher education institution | university,10
65,graduate school | law school | publishing company,10
66,organization | university,10
67,open-access publisher | public research university | university | university in british columbia,10
68,public university | research university,10
69,national academy | swedish royal academies,10
70,liberal arts college | private not-for-profit educational institution,9
71,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,9
72,educational organization | open-access publisher | university,9
73,educational organization | higher education institution | public university,9
74,open-access publisher | production company | public research university,9
75,colonial colleges | land-grant university | public research university | sea grant institution,8
76,open-access publisher | public research university | university in quebec,8
77,open-access publisher | public research university | university in ontario,8
78,open-access publisher | organization | university,8
79,comprehensive university | public university,8
80,public educational institution of the united states | public university,8
81,liberal arts college in the united states | private not-for-profit educational institution,8
82,collegiate university | educational organization | organization | public research university,8
83,alumni association,8
84,private not-for-profit educational institution | private university | research university | workplace,8
85,private university | publishing company,7
86,college of the university of oxford | university building,7
87,grand établissement | university in france,7
88,business school | nonprofit organization,7
89,military academy,7
90,independent school,7
91,business school | open-access publisher,7
92,lycée,7
93,private school | public policy school,7
94,501(c)(3) organization | group of structures or buildings | private not-for-profit educational institution | private university | research university,7
95,academy of sciences | learned society | national academy | open-access publisher | organization | publishing company,7
96,business school | grande école,7
97,academic department,6
98,academic publisher | private university,6
99,institute of technology | public university,6
100,educational organization | public research university,6
101,academic publisher | public educational institution of the united states | university,6
102,colonial colleges | open-access publisher | private not-for-profit educational institution | private university | research university,6
103,ancient university | open-access publisher | organization | public university,6
104,boarding school | boys' school | independent school | public school,6
105,public educational institution of the united states | public research university | university,6
106,autonomous university | university in quebec,6
107,non-governmental organization | nonprofit organization | trade association,6
108,école d'application,6
109,public school | secondary school,6
110,higher education institution directly under ministry of education of the people’s republic of china | university | vice-ministerial level university,6
111,land-grant university | public educational institution of the united states | public research university | publishing company,6
112,land-grant university | open-access publisher | public educational institution of the united states | public university,6
113,building | educational organization | public research university | university,6
114,colleges that change lives | liberal arts college | private not-for-profit educational institution,5
115,catholic university | jesuit university | open-access publisher | private university,5
116,institute of technology | national research university | open-access publisher,5
117,private not-for-profit educational institution | research institute | university,5
118,business school | faculty | organization,5
119,business | enterprise | organization | public company,5
120,liberal arts college | private not-for-profit educational institution | university,5
121,open-access publisher | public research university | university,5
122,musical group,5
123,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,5
124,university-preparatory school,5
125,corporate title | legal concept | occupation | occupation | profession,5
126,private not-for-profit educational institution,5
127,higher education institution directly under ministry of education of the people’s republic of china | public university,5
128,open-access publisher | public university | research university,5
129,open-access publisher | public research university,5
130,boarding school | boys' school | independent school,5
131,organization | private not-for-profit educational institution | private university | production company,5
132,boarding school,5
133,national research university | open-access publisher | publishing company,5
134,educational organization | higher education institution | organization | university,5
135,academy of sciences | national academy,4
136,educational institution | open-access publisher | organization | pontifical university,4
137,land-grant university | public educational institution of the united states | university,4
138,central university,4
139,boarding school | independent school,4
140,catholic university | private not-for-profit educational institution | private university | research university,4
141,nonprofit organization,4
142,educational organization | public university | red brick university | research university,4
143,educational institution | university,4
144,open-access publisher | private university,4
145,boarding school | charitable organization | independent school,4
146,open-access publisher | public educational institution of the united states | public research university,4
147,open-access publisher | public university | university,4
148,boarding school | independent school | public school,4
149,open-access publisher | production company | public university,4
150,faculty | law school | organization,4
151,faculty | law school,4
152,educational organization | higher education institution | open-access publisher | organization | public research university,4
153,government body of australia | production company | public university,4
154,state public university,4
155,comprehensive university | public research university | public university | university of excellence,4
156,public university | university,4
157,collegiate university | nonprofit organization,4
158,higher education institution directly under ministry of education of the people’s republic of china | public university | vice-ministerial level university,4
159,national university | research university,4
160,building | university,4
161,open-access publisher | public educational institution of the united states | public research university | publishing company,4
162,liberal arts college | private not-for-profit educational institution | private university,4
163,higher education institution directly under ministry of education of the people’s republic of china | university,4
164,institute of technology | national research university,4
165,academic institution | educational organization | higher education institution | university college,3
166,academic publisher | constituent college | educational organization | public research university,3
167,academic publisher | comprehensive university | national university | university,3
168,autonomous university | open-access publisher | organization | research university,3
169,organization | école normale supérieure,3
170,arboretum | open-access publisher | private not-for-profit educational institution | private university,3
171,business school | graduate school | public university,3
172,business school | private educational institution,3
173,boarding school | first school | primary school | private school | university-preparatory school,3
174,fraternity,3
175,high school | school building,3
176,boarding school | girls' school | independent school,3
177,defunct organization | university in france,3
178,collegiate university | public research university | university in ontario,3
179,former educational institution | university in france,3
180,educational organization | higher education institution | public university | university,3
181,comprehensive university | local internet registry | open-access publisher | public university,3
182,czech research institution | open-access publisher | public university | publishing company,3
